"Aditi"
"64:E2:E7:F2:C8:BD"
-89.5
-89.5
-88.8
-88.666664
-88.666664
-89.5
-88.57143
-88.85714
-89.0
-89.166664
-89.71429
-89.71429
-88.44444
-88.4
-88.666664
-88.77778
-88.77778
-87.8
-87.22222
-87.7
-88.4
-89.22222
-89.111115
-88.0
-88.0
-87.2
-87.2
-86.7
-85.5
-84.25
-84.0
-84.166664
-84.5
-84.5
-84.666664
-84.666664
-84.666664
-84.5
-84.0
-84.0
-90.7
-90.4
-90.4
-91.8
-92.5
-93.4
-91.4
-91.5
-91.6
-91.6
-91.4
-90.3
-91.44444
-92.5
-93.0
-93.0
-90.9
-90.5
-90.5
-90.75
-90.85714
-90.5
-90.42857
-89.57143
-91.75
-90.333336
-91.375
-91.125
-91.6
-91.22222
-91.375
-91.333336
-90.9
-91.7
-91.0
-91.5
-91.42857
-90.875
-90.55556
-91.25
-92.0
-91.25
-91.25
-90.0
-90.375
-91.0
-91.42857
-91.14286
-91.28571
-92.0
-92.0
-93.0
-92.166664
-93.0
-91.0
-91.5
-91.9
-92.3
-92.3
-92.3
-93.3
-92.4
-92.8
-92.8
-92.6
-93.1
-91.7
-92.55556
-93.1
-92.666664
-92.666664
-91.666664
-90.333336
-91.333336
-91.55556
-91.5
-91.4
-91.75
-91.75
-93.333336
-96.5
-97.0
